######## node nn/throw-audit/park-monotone.js 1 0 -1 1 0.1 200
box +-0.1u, +-0.248 deg, 200 poses, arm (0,-1), foot 1, 138 substeps, rim 67.167
centre thrown at substep 84

MONOTONE IN THE SUBSTEP: yes, for every pose over the whole sweep
first push over the box: substep 10; every pose thrown by substep 85

  k    deg    gain: min       max      |  radius: min      max     spread  |  regimes  thrown
H4 (box invariance), first contact 6 to the throw 86: pose spread about the centre 0.4330u -> 0.4516u -- the true dynamics EXPAND by 1.043x
every pose thrown: 200/200; latest throw substep 86

######## node nn/throw-audit/park-monotone.js 1 2 -1 1 0.1 120
box +-0.1u, +-0.248 deg, 120 poses, arm (2,-1), foot 1, 331 substeps, rim 67.167
centre thrown at substep 112

MONOTONE IN THE SUBSTEP: yes, for every pose over the whole sweep
first push over the box: substep 74; every pose thrown by substep 113

  k    deg    gain: min       max      |  radius: min      max     spread  |  regimes  thrown
   74  24.67   0.000000  0.047248  |   63.861   64.207   0.1732  |    2      0/120
   75  25.00   0.000000  0.093956  |   63.955   64.207   0.1742  |    2      0/120
   76  25.33   0.009939  0.093898  |   64.048   64.239   0.1737  |    1      0/120
   77  25.67   0.092545  0.093507  |   64.141   64.332   0.1733  |    1      0/120
   78  26.00   0.092043  0.093015  |   64.234   64.424   0.1728  |    1      0/120
   79  26.33   0.091523  0.092835  |   64.326   64.517   0.1725  |    1      0/120
   80  26.67   0.091290  0.092389  |   64.418   64.609   0.1727  |    1      0/120
   81  27.00   0.091086  0.091942  |   64.509   64.700   0.1730  |    1      0/120
   82  27.33   0.090642  0.091493  |   64.600   64.791   0.1732  |    1      0/120
   83  27.67   0.090198  0.091042  |   64.691   64.882   0.1735  |    1      0/120
   84  28.00   0.089752  0.090591  |   64.781   64.972   0.1737  |    1      0/120
   85  28.33   0.089304  0.090138  |   64.870   65.062   0.1740  |    1      0/120
   86  28.67   0.088854  0.089683  |   64.960   65.151   0.1742  |    1      0/120
   87  29.00   0.088403  0.089227  |   65.049   65.240   0.1745  |    1      0/120
   88  29.33   0.087950  0.088769  |   65.137   65.328   0.1747  |    1      0/120
   89  29.67   0.087496  0.088310  |   65.225   65.416   0.1750  |    1      0/120
   90  30.00   0.087041  0.087849  |   65.312   65.504   0.1752  |    1      0/120
   91  30.33   0.086584  0.087387  |   65.399   65.591   0.1755  |    1      0/120
   92  30.67   0.086125  0.086923  |   65.486   65.677   0.1757  |    1      0/120
   93  31.00   0.085665  0.086458  |   65.572   65.763   0.1760  |    1      0/120
   94  31.33   0.085204  0.085992  |   65.657   65.849   0.1762  |    1      0/120
   95  31.67   0.084741  0.085524  |   65.743   65.934   0.1764  |    1      0/120
   96  32.00   0.084277  0.085055  |   65.827   66.019   0.1767  |    1      0/120
   97  32.33   0.083812  0.084585  |   65.911   66.103   0.1769  |    1      0/120
   98  32.67   0.083345  0.084113  |   65.995   66.187   0.1772  |    1      0/120
   99  33.00   0.082877  0.083640  |   66.078   66.270   0.1774  |    1      0/120
  100  33.33   0.082407  0.083165  |   66.161   66.353   0.1777  |    1      0/120
  101  33.67   0.081937  0.082690  |   66.243   66.435   0.1779  |    1      0/120
  102  34.00   0.081464  0.082213  |   66.325   66.517   0.1781  |    1      0/120
  103  34.33   0.080991  0.081734  |   66.407   66.598   0.1784  |    1      0/120
  104  34.67   0.080517  0.081255  |   66.488   66.679   0.1786  |    1      0/120
  105  35.00   0.080041  0.080774  |   66.568   66.759   0.1788  |    1      0/120
  106  35.33   0.079564  0.080292  |   66.648   66.839   0.1791  |    1      0/120
  107  35.67   0.079085  0.079809  |   66.727   66.919   0.1793  |    1      0/120
  108  36.00   0.078606  0.079325  |   66.806   66.998   0.1796  |    1      0/120
  109  36.33   0.078125  0.078840  |   66.885   67.076   0.1798  |    1      0/120
  110  36.67   0.077644  0.078353  |   66.963   67.154   0.1800  |    1      0/120
  111  37.00   0.077161  0.078093  |   67.041   67.232   0.1807  |    1      37/120
  112  37.33   0.076369  0.077563  |   67.118   67.309   0.1808  |    1      95/120
  113  37.67   0.075815  0.076640  |   67.194   67.385   0.1811  |    1      120/120
  114  38.00   0.075256  0.075977  |   67.270   67.460   0.1813  |    1      120/120
  115  38.33   0.074695  0.075418  |   67.345   67.535   0.1816  |    1      120/120
  116  38.67   0.074134  0.074858  |   67.419   67.610   0.1819  |    1      120/120
  117  39.00   0.073572  0.074297  |   67.493   67.683   0.1821  |    1      120/120
  118  39.33   0.073009  0.073735  |   67.567   67.757   0.1824  |    1      120/120
  119  39.67   0.071062  0.073172  |   67.640   67.828   0.1822  |    1      120/120
  120  40.00   0.070564  0.072609  |   67.712   67.901   0.1823  |    1      120/120
  121  40.33   0.070631  0.072029  |   67.783   67.972   0.1825  |    1      120/120
  122  40.67   0.070838  0.071508  |   67.854   68.043   0.1828  |    1      120/120
  123  41.00   0.070320  0.070990  |   67.925   68.114   0.1830  |    1      120/120
  124  41.33   0.069801  0.070472  |   67.995   68.184   0.1832  |    1      120/120
  125  41.67   0.069283  0.069953  |   68.065   68.254   0.1834  |    1      120/120
  126  42.00   0.068764  0.069435  |   68.134   68.323   0.1837  |    1      120/120
  127  42.33   0.068245  0.068916  |   68.203   68.391   0.1839  |    1      120/120
  128  42.67   0.067726  0.068397  |   68.271   68.459   0.1841  |    1      120/120
  129  43.00   0.067207  0.067878  |   68.338   68.527   0.1843  |    1      120/120
  130  43.33   0.066688  0.067359  |   68.405   68.595   0.1846  |    1      120/120
  131  43.67   0.066168  0.066840  |   68.471   68.661   0.1848  |    1      120/120
  132  44.00   0.065650  0.066321  |   68.536   68.728   0.1850  |    1      120/120
  133  44.33   0.065131  0.065802  |   68.602   68.793   0.1852  |    1      120/120

H3 (radial gain bounded below over the box, CONTACT substeps only): min gain 0.003486u at substep 210 -- POSITIVE throughout
H4 (box invariance), first contact 74 to the throw 113: pose spread about the centre 0.1732u -> 0.1811u -- the true dynamics EXPAND by 1.045x
every pose thrown: 120/120; latest throw substep 113

